,TweetDate,Tweets,intention
0,0.07411240184980332,"  (0, 2676)	1",0
1,0.0579110936320827,"  (0, 4018)	1
  (0, 49)	1",0
2,0.01068603819172304,"  (0, 1610)	1",1
3,0.03102381616437613,"  (0, 891)	1",1
4,0.4829369373040051,"  (0, 1836)	1
  (0, 3090)	1
  (0, 5217)	1
  (0, 4374)	1
  (0, 612)	1
  (0, 4677)	1",0
5,0.07480188816250725,"  (0, 829)	1
  (0, 2516)	1
  (0, 375)	1
  (0, 5165)	1",0
6,0.06963115446765035,"  (0, 4536)	1
  (0, 4548)	1
  (0, 4832)	1
  (0, 1654)	1
  (0, 4843)	1
  (0, 1001)	1
  (0, 3170)	1
  (0, 4134)	1
  (0, 330)	1",1
7,0.09445028323506206,"  (0, 806)	1
  (0, 1490)	1
  (0, 2947)	1
  (0, 3454)	1
  (0, 2156)	1",0
8,0.08376424504333901,"  (0, 1694)	1
  (0, 1756)	1
  (0, 3057)	1
  (0, 70)	1",1
9,0.018614303486973096,"  (0, 5100)	1",1
10,0.01275422136288645,"  (0, 2993)	1
  (0, 810)	1
  (0, 2450)	1
  (0, 2992)	1
  (0, 18)	1",1
11,0.07514659684799067,"  (0, 4082)	1
  (0, 4083)	1
  (0, 4671)	1
  (0, 1083)	1",0
12,0.04412278068361455,"  (0, 3334)	1",0
13,0.04343329437091061,"  (0, 1156)	1
  (0, 4263)	1
  (0, 3643)	1
  (0, 2033)	1",0
14,0.006894242651405448,"  (0, 1027)	1
  (0, 3187)	1",0
15,0.9655290280390526,"  (0, 3084)	1
  (0, 2155)	1
  (0, 3420)	1",1
16,0.05205101150799605,"  (0, 5082)	1
  (0, 4398)	1
  (0, 2510)	1",1
17,0.061358146016048325,"  (0, 3999)	1",1
18,0.07928310107379169,"  (0, 892)	1
  (0, 3848)	1",1
19,0.09376076245148958,"  (0, 1725)	1
  (0, 4357)	1
  (0, 2984)	1",0
20,0.08617720584172293,"  (0, 4460)	1
  (0, 1310)	1
  (0, 4920)	1",1
21,0.02137193849997189,"  (0, 1733)	1
  (0, 4066)	1
  (0, 4353)	1",1
22,0.03964153330146157,"  (0, 2396)	1
  (0, 3786)	1",0
23,0.27542234311385627,"  (0, 1972)	1
  (0, 22)	1",1
24,0.0834195363578556,"  (0, 4843)	1
  (0, 1001)	1
  (0, 4134)	1
  (0, 4969)	1
  (0, 5314)	1
  (0, 329)	1",1
25,0.062736980757982,"  (0, 2064)	1
  (0, 2307)	1
  (0, 2673)	1
  (0, 5360)	1
  (0, 773)	1",0
26,0.028610924307729303,"  (0, 5228)	1",1
27,0.03205801116256348,"  (0, 515)	1
  (0, 4713)	1
  (0, 1750)	1",0
28,0.021716716127192403,"  (0, 2390)	1
  (0, 1753)	1
  (0, 3835)	1
  (0, 4036)	1
  (0, 4124)	1
  (0, 3066)	1
  (0, 1102)	1
  (0, 3811)	1
  (0, 877)	1",1
29,0.0451568377983277,"  (0, 3158)	1",1
30,0.5518787088715572,"  (0, 587)	1",1
31,0.008962529235174502,"  (0, 4843)	1
  (0, 1001)	1
  (0, 621)	1
  (0, 3460)	1
  (0, 5380)	1",1
32,0.017924851645137713,"  (0, 891)	1",1
33,0.018959081114193612,"  (0, 2746)	1",1
34,0.08996896691117198,"  (0, 4857)	1",0
35,0.04722508991122821,"  (0, 1970)	1
  (0, 3131)	1
  (0, 5031)	1
  (0, 3831)	1
  (0, 2874)	1",1
36,0.09376083139322668,"  (0, 3248)	1",0
37,0.8273008796310707,"  (0, 1654)	1
  (0, 1156)	1
  (0, 2005)	1
  (0, 4257)	1
  (0, 3416)	1
  (0, 5364)	1
  (0, 746)	1
  (0, 3547)	1
  (0, 5365)	1",0
38,0.07687010580453921,"  (0, 4843)	1
  (0, 1001)	1
  (0, 4134)	1
  (0, 2466)	1
  (0, 1122)	1
  (0, 326)	1",1
39,0.9999999310582629,"  (0, 4014)	1",1
40,0.03998631092868208,"  (0, 1608)	1
  (0, 2514)	1
  (0, 4672)	1
  (0, 5162)	1
  (0, 2953)	1
  (0, 2952)	1",1
41,0.34470868548341754,"  (0, 5341)	1",0
42,1.0341260564502527e-07,"  (0, 5087)	1
  (0, 3751)	1",1
43,0.049982862807701194,"  (0, 2933)	1
  (0, 4566)	1",1
44,0.07514659684799067,"  (0, 2021)	1",1
45,0.08376427951420756,"  (0, 5071)	1",0
46,0.05239575466434802,"  (0, 5130)	1
  (0, 239)	1
  (0, 439)	1",1
47,0.08548778847075611,"  (0, 2751)	1
  (0, 4147)	1
  (0, 4940)	1",1
48,0.13753879997875215,"  (0, 4692)	1
  (0, 1368)	1
  (0, 4586)	1",0
49,0.20648060601717277,"  (0, 2475)	1",1
50,0.0834195363578556,"  (0, 930)	1",1
51,0.05170630282251264,"  (0, 3508)	1
  (0, 3605)	1
  (0, 2554)	1",0
52,0.7580143993780353,"  (0, 1733)	1
  (0, 3584)	1
  (0, 2699)	1",1
